ID,IsSoftwareDev,Age,Gender,BootcampName,BootcampFinish,BootcampLoan,BootcampRecommend,HoursLearning,MonthsProgramming,CityPopulation,CodeEvents,PodcastsListen,ResourcesUse,SchoolDegree
ed88f2b577958160de20142de76311ed,0,26,female,General Assembly,1,0,0,30,28,"100,000 - 1 million",6,1,5,Less than Bachelor's
ed5d4300bc66934db1e173bdddb3719d,1,27,female,App Academy,1,0,1,20,36,>1 million,1,0,4,Bachelor's and Higher
ed5cfe4808ece7a19e7ddedc3746d13a,1,22,male,Other,1,0,1,50,36,"100,000 - 1 million",4,1,4,Bachelor's and Higher
ed5394c51fa04ef4f358962aee61c790,0,27,male,Other,1,0,1,15,6,>1 million,3,1,2,Bachelor's and Higher
ed14c0a9942912908b545a8675cb8931,1,23,male,Other,0,0,0,10,36,>1 million,0,0,2,Bachelor's and Higher
ecb8a131128f33efbd65078d0160a2dc,1,27,male,Dev Bootcamp,1,1,0,10,20,"100,000 - 1 million",3,0,3,Bachelor's and Higher
ecaab3f02e2c8b44153ec2a85c41a6f7,0,50,female,The Iron Yard,1,1,0,30,24,"100,000 - 1 million",5,1,6,Bachelor's and Higher
ebcaa3aff8d86cc0978288c24f7a5b9f,0,25,female,Other,1,0,1,50,3,>1 million,0,0,2,Bachelor's and Higher
eb626ff553e57ec061f49fff86667fa3,1,32,male,General Assembly,1,0,1,10,6,>1 million,1,1,7,Bachelor's and Higher
eb615dca59b7e5b10a357c69559964bb,0,33,male,Flatiron School,0,0,1,60,14,>1 million,2,2,1,Less than Bachelor's
eb5eef2a0bd77a3f905ad7ea04fe4ab6,0,42,male,Other,0,0,1,40,30,"<100,000",2,0,7,Bachelor's and Higher
eb4eab6bfb94ddfe0411200c5893a82a,1,23,male,Other,1,0,1,24,8,>1 million,0,0,1,Bachelor's and Higher
eb1352e14e3233f00e959e1c1f2149f8,1,31,male,General Assembly,1,1,1,20,24,>1 million,1,1,3,Bachelor's and Higher
ea924f3ee1715cfb711cd7a91d87e32b,1,38,male,Other,1,0,0,50,6,"<100,000",2,1,3,Bachelor's and Higher
ea6251318c1b4f977df0d791e0e5494f,0,30,female,Other,1,1,1,40,12,>1 million,4,0,3,Bachelor's and Higher
e9a349cccd86d71d4ca802f4f7fa167b,0,23,female,Other,0,0,1,40,4,>1 million,4,1,3,Bachelor's and Higher
e972745f7453e7df898c335c6f507c05,1,31,male,Dev Bootcamp,0,0,1,10,3,"100,000 - 1 million",2,0,4,Bachelor's and Higher
e949445f49ff263b7774b8c8b7fbfe37,0,,,Other,0,1,0,30,2,,0,0,7,
e8f9369e9f0b0053f4ad0221d0c5278f,1,28,female,General Assembly,1,0,1,5,15,"100,000 - 1 million",1,0,4,Bachelor's and Higher
e8d840156f3e75fb0e2d1e3d00a3e476,1,36,female,Other,1,0,1,10,18,>1 million,5,1,3,Bachelor's and Higher
e8d0e1b55d3151f5cd30ca8dbf2e0d96,1,34,male,Other,1,1,0,70,7,"<100,000",2,1,7,Bachelor's and Higher
e80b6bf432c764df7c5851a69f3051c1,1,,,Hackbright Academy,1,0,1,4,14,,4,0,3,
e7da68a0710339e552ff6b8b1fcbe0dc,0,39,male,Other,1,1,1,30,12,"100,000 - 1 million",1,0,4,Bachelor's and Higher
e7c99d38dbd810a9de77220e6ac863f3,0,31,male,Other,0,1,1,50,4,"100,000 - 1 million",2,0,4,Bachelor's and Higher
e76eb4643136ceac63088565a3c90741,0,28,male,General Assembly,1,1,0,5,2,"100,000 - 1 million",1,1,4,Bachelor's and Higher
e769a273cfb34a1f35e69020e84014a1,0,28,,Hackbright Academy,1,1,1,10,12,"100,000 - 1 million",3,0,3,Less than Bachelor's
e73a7324653bdc2ff5b8343276472f2f,1,26,female,Flatiron School,1,0,1,43,8,>1 million,1,2,4,Bachelor's and Higher
e692e3f3670f7873c02bedf7b3690d0b,0,41,female,Other,1,1,1,15,6,"100,000 - 1 million",3,1,2,Bachelor's and Higher
e620590eb53dfa9d08b94bf2793cdee7,1,,,General Assembly,1,0,1,5,6,,2,0,3,
e54c3caafdcb9791d5c894485301e449,0,42,female,General Assembly,1,0,0,25,9,>1 million,5,0,3,Bachelor's and Higher
e548a047392604972e4854e576fe23d7,1,30,male,Other,1,0,1,3,6,"<100,000",0,0,4,Bachelor's and Higher
e4ba1997317e6a1132ad299236f0b5c3,0,33,male,Other,1,1,1,10,6,>1 million,5,0,2,Bachelor's and Higher
e4a55b1705637301ce64bfa011dc8dc7,0,24,male,The Iron Yard,0,1,1,60,1,>1 million,3,2,2,Bachelor's and Higher
e4a4a5b2ed3d12959f07c891031da938,1,27,male,The Iron Yard,1,1,1,5,11,>1 million,0,0,1,Bachelor's and Higher
e4502017930003b4aee83393d6eae62a,0,26,female,Other,1,0,0,25,21,"100,000 - 1 million",3,2,3,Less than Bachelor's
e31830d30b9dbcddb2206e72fab8b55f,0,,,Other,1,0,0,50,1,,1,0,3,
e2efcc5f067c042f7b70fce7be1cc7ac,1,41,female,Hackbright Academy,1,0,0,25,5,>1 million,4,0,1,Bachelor's and Higher
e2cde55c3c6fdc05a0797b95aec56287,1,26,female,Other,1,0,1,5,8,>1 million,2,0,3,Bachelor's and Higher
e243403d954fb7cf8c670c66b0f9153c,1,36,female,Other,1,0,1,6,14,"100,000 - 1 million",2,0,4,Less than Bachelor's
e223cb11642b05dd2b0f279d8aaa180c,1,26,male,General Assembly,1,1,1,4,12,>1 million,1,0,4,Bachelor's and Higher
e21078eef3119fc9b3719d040db41f77,0,33,male,Other,0,1,1,60,9,>1 million,0,1,4,Bachelor's and Higher
e1f9c617ef0eb57a8d620e6620079d25,1,23,male,App Academy,1,0,1,0,8,"100,000 - 1 million",0,0,1,Bachelor's and Higher
e1f0db5417682e3ae948af429c21feee,0,27,male,Other,0,1,0,65,10,"<100,000",1,0,5,Less than Bachelor's
e1ed94113fb24f2e0b36eee298190f98,0,,,Prime Digital Academy,1,1,0,10,10,,2,0,5,
e1e8601845d72014b5bc1b050dcba190,1,26,female,Flatiron School,1,1,1,40,6,>1 million,3,0,1,Bachelor's and Higher
e1b6ef2e68ad1e7166273250da32899b,1,21,male,Hack Reactor,1,1,1,5,15,"100,000 - 1 million",0,1,3,Less than Bachelor's
e114111cc4b28f59c31257694bea0127,1,31,female,Other,1,1,1,5,7,"100,000 - 1 million",3,0,2,Bachelor's and Higher
e1135229355e256852f4df7fae8f9286,1,29,male,Other,1,0,0,20,6,"100,000 - 1 million",3,1,5,Bachelor's and Higher
